epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,742.233,1.2036,0.63026,0.9265,0.87849,0.85894,0.9112,0.58164,1.13519,0.58156,0.91769,0.000900844,0.000900844,0.000900844
43,759.832,1.21483,0.64006,0.93272,0.89047,0.84485,0.90959,0.58734,1.13237,0.57905,0.91797,0.000896127,0.000896127,0.000896127
44,777.113,1.20974,0.63383,0.92387,0.9017,0.85327,0.91609,0.58703,1.12175,0.57496,0.91372,0.000891313,0.000891313,0.000891313
45,794.326,1.19922,0.62828,0.92815,0.8863,0.84463,0.91338,0.5929,1.12165,0.57023,0.91469,0.000886404,0.000886404,0.000886404
46,811.809,1.21707,0.63677,0.92962,0.89431,0.84055,0.9115,0.58609,1.12099,0.57858,0.91568,0.000881401,0.000881401,0.000881401
47,829.251,1.19531,0.6245,0.91774,0.90266,0.8468,0.92125,0.59353,1.11819,0.56498,0.91032,0.000876305,0.000876305,0.000876305
48,847.212,1.20223,0.62685,0.92884,0.89449,0.85213,0.91552,0.57999,1.13296,0.57043,0.91585,0.000871117,0.000871117,0.000871117
49,864.672,1.19055,0.62304,0.92539,0.88939,0.85472,0.91838,0.59115,1.11091,0.57033,0.91288,0.000865839,0.000865839,0.000865839
50,883.526,1.18902,0.62444,0.92303,0.89435,0.846,0.91131,0.58994,1.12288,0.57874,0.91248,0.000860473,0.000860473,0.000860473
51,902.522,1.19894,0.62703,0.93018,0.90794,0.83646,0.91508,0.58635,1.11186,0.57243,0.91296,0.000855018,0.000855018,0.000855018
52,921.077,1.20691,0.634,0.92792,0.88313,0.85997,0.91902,0.59128,1.11411,0.56343,0.91221,0.000849477,0.000849477,0.000849477
53,940.164,1.19602,0.62859,0.92633,0.88273,0.8669,0.92228,0.58947,1.11568,0.5732,0.91248,0.000843851,0.000843851,0.000843851
54,959.332,1.18633,0.61981,0.92015,0.88233,0.85656,0.91427,0.58324,1.14385,0.56753,0.91623,0.000838141,0.000838141,0.000838141
55,977.584,1.18038,0.61634,0.92202,0.87857,0.86281,0.91588,0.58634,1.1265,0.57346,0.91606,0.000832349,0.000832349,0.000832349
56,997.496,1.1993,0.62889,0.92725,0.90049,0.85097,0.92106,0.59081,1.11525,0.56571,0.91507,0.000826477,0.000826477,0.000826477
57,1016.04,1.1814,0.61202,0.91757,0.88917,0.84739,0.9145,0.58571,1.11688,0.56162,0.91208,0.000820525,0.000820525,0.000820525
58,1033.82,1.17271,0.60656,0.91495,0.88131,0.87496,0.92304,0.59059,1.11322,0.56379,0.91268,0.000814495,0.000814495,0.000814495
59,1051.67,1.1666,0.60401,0.91491,0.8799,0.87428,0.91961,0.59475,1.10515,0.54896,0.91166,0.000808389,0.000808389,0.000808389
60,1069.1,1.17828,0.60596,0.91942,0.89944,0.8502,0.91937,0.59494,1.10351,0.55713,0.9136,0.000802208,0.000802208,0.000802208
61,1087.37,1.17455,0.60325,0.91858,0.89818,0.84668,0.91826,0.60112,1.10163,0.54849,0.91044,0.000795954,0.000795954,0.000795954
62,1105.33,1.18206,0.60823,0.92044,0.88215,0.86508,0.92272,0.59895,1.11423,0.55265,0.91371,0.000789628,0.000789628,0.000789628
63,1123.54,1.16918,0.60045,0.91382,0.88036,0.87291,0.92105,0.58997,1.11021,0.56353,0.9136,0.000783231,0.000783231,0.000783231
64,1141.2,1.16447,0.59605,0.91428,0.89429,0.86472,0.92398,0.60153,1.10147,0.55351,0.91024,0.000776766,0.000776766,0.000776766
65,1158.71,1.17872,0.61166,0.91963,0.88999,0.86827,0.92123,0.59569,1.11021,0.56282,0.90891,0.000770234,0.000770234,0.000770234
66,1176.31,1.17224,0.59604,0.91127,0.89644,0.86814,0.92466,0.59718,1.10424,0.54718,0.91103,0.000763637,0.000763637,0.000763637
67,1194.39,1.14883,0.58963,0.91289,0.89627,0.8661,0.92245,0.60233,1.10224,0.54972,0.91315,0.000756976,0.000756976,0.000756976
68,1214.61,1.15933,0.59197,0.91413,0.89588,0.85899,0.921,0.5967,1.10834,0.55366,0.91465,0.000750252,0.000750252,0.000750252
69,1233.29,1.16775,0.59581,0.91656,0.89447,0.85281,0.91938,0.5996,1.11735,0.55501,0.91433,0.000743468,0.000743468,0.000743468
70,1251.74,1.17727,0.59966,0.91852,0.89789,0.85145,0.91976,0.59902,1.1078,0.54479,0.91064,0.000736625,0.000736625,0.000736625
71,1269.25,1.15106,0.58846,0.91461,0.88177,0.87156,0.92125,0.59854,1.10259,0.54688,0.9128,0.000729725,0.000729725,0.000729725
72,1286.77,1.17173,0.59822,0.91889,0.89551,0.86144,0.92092,0.60186,1.10653,0.55198,0.91222,0.00072277,0.00072277,0.00072277
73,1304.56,1.16555,0.59687,0.91725,0.88393,0.86746,0.91892,0.59809,1.10257,0.54278,0.91107,0.000715761,0.000715761,0.000715761
74,1322.51,1.14552,0.58153,0.90959,0.88094,0.87155,0.91803,0.59724,1.09789,0.54311,0.90745,0.0007087,0.0007087,0.0007087
75,1341.05,1.15669,0.59214,0.91319,0.87818,0.87428,0.9207,0.60213,1.09743,0.54074,0.90775,0.000701588,0.000701588,0.000701588
76,1358.69,1.15499,0.59262,0.91477,0.88549,0.86678,0.92204,0.60138,1.09454,0.54482,0.91029,0.000694428,0.000694428,0.000694428
77,1376.67,1.14666,0.58516,0.90998,0.89983,0.85588,0.91783,0.60047,1.09407,0.54191,0.91027,0.000687222,0.000687222,0.000687222
